match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,serve_return,shots_in_pts_won,shots_in_pts_lost

19860607-W-Roland_Garros-F-Chris_Evert-Martina_Navratilova,1,Fside,291,45,21,12,12,41,136,155
19860607-W-Roland_Garros-F-Chris_Evert-Martina_Navratilova,1,Bside,223,30,9,7,14,23,109,114
19860607-W-Roland_Garros-F-Chris_Evert-Martina_Navratilova,2,Fside,188,31,17,6,8,43,101,87
19860607-W-Roland_Garros-F-Chris_Evert-Martina_Navratilova,2,Bside,323,30,10,3,17,29,174,149

19850706-W-Wimbledon-F-Martina_Navratilova-Chris_Evert,1,Fside,91,37,20,5,12,20,51,40
19850706-W-Wimbledon-F-Martina_Navratilova-Chris_Evert,1,Bside,152,28,8,9,11,50,68,84
19850706-W-Wimbledon-F-Martina_Navratilova-Chris_Evert,2,Fside,130,36,15,13,8,23,78,52
19850706-W-Wimbledon-F-Martina_Navratilova-Chris_Evert,2,Bside,99,20,5,7,8,28,46,53

19851207-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,1,Fside,106,36,16,7,13,28,63,43
19851207-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,1,Bside,135,30,13,11,6,45,74,61
19851207-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,2,Fside,117,38,12,12,14,25,62,55
19851207-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,2,Bside,119,30,12,7,11,36,52,67

19840908-W-US_Open-F-Chris_Evert-Martina_Navratilova,2,Fside,174,42,17,6,19,34,84,90
19840908-W-US_Open-F-Chris_Evert-Martina_Navratilova,2,Bside,142,28,11,6,11,40,61,81
19840908-W-US_Open-F-Chris_Evert-Martina_Navratilova,1,Fside,151,35,12,10,13,30,81,70
19840908-W-US_Open-F-Chris_Evert-Martina_Navratilova,1,Bside,158,32,11,9,12,33,87,71

19880424-W-Houston-F-Chris_Evert-Martina_Navratilova,2,Fside,131,25,10,5,10,30,65,66
19880424-W-Houston-F-Chris_Evert-Martina_Navratilova,2,Bside,199,39,12,1,26,26,91,108
19880424-W-Houston-F-Chris_Evert-Martina_Navratilova,1,Fside,179,22,9,7,6,29,107,72
19880424-W-Houston-F-Chris_Evert-Martina_Navratilova,1,Bside,128,11,5,1,5,12,55,73

19810420-W-Amelia_Island-F-Martina_Navratilova-Chris_Evert,2,Fside,95,22,7,9,6,11,68,27
19810420-W-Amelia_Island-F-Martina_Navratilova-Chris_Evert,2,Bside,66,17,7,6,4,17,53,13
19810420-W-Amelia_Island-F-Martina_Navratilova-Chris_Evert,1,Fside,53,16,4,2,10,13,15,38
19810420-W-Amelia_Island-F-Martina_Navratilova-Chris_Evert,1,Bside,108,12,0,3,9,26,28,80

19821129-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,2,Fside,133,28,9,8,11,28,71,62
19821129-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,2,Bside,201,27,10,15,2,36,121,80
19821129-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,1,Fside,153,41,16,11,14,15,74,79
19821129-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,1,Bside,188,30,10,3,17,47,80,108

19811130-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,2,Fside,269,55,20,19,16,28,154,115
19811130-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,2,Bside,222,29,16,7,6,63,121,101
19811130-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,1,Fside,182,56,23,14,19,23,92,90
19811130-W-Australian_Open-F-Martina_Navratilova-Chris_Evert,1,Bside,331,57,21,13,23,83,155,176
